Date,africa,asia,antarctica,atlantic,arctic,australia,europe,indian-ocean,north-america,pacific,south-america
2010-01-15,true,true,false,true,false,false,true,true,false,true,false
2011-01-4,true,true,false,false,false,false,true,false,false,false,false
2011-11-25,true,false,true,true,false,true,false,true,false,true,false
2013-11-3,true,true,false,true,false,false,true,true,true,true,true
2015-03-20,true,true,false,true,true,false,true,false,true,false,false
2015-09-13,true,false,true,true,false,false,false,true,false,false,false
2016-09-1,true,true,true,true,false,true,false,true,false,false,false
2017-02-26,true,false,true,true,false,false,false,true,false,true,true
2017-08-21,true,true,false,true,true,false,true,false,true,true,true
2019-12-26,true,true,false,false,false,true,true,true,false,true,false
1902-10-31,false,true,false,false,false,false,true,false,false,false,false
1903-03-29,false,true,false,false,true,false,true,false,true,true,false
1905-03-6,false,true,true,true,false,true,false,true,false,true,false
1906-08-20,false,true,false,false,true,false,true,false,true,false,false
1909-06-17,false,true,false,true,true,false,true,false,true,true,false
1910-05-9,false,true,true,false,false,true,false,true,false,true,false
1910-11-2,false,true,false,false,false,false,false,false,true,true,false
1911-10-22,false,true,false,false,false,true,true,true,false,true,false
1913-04-6,false,true,false,false,true,false,false,false,true,true,false
1915-08-10,false,true,false,false,false,false,false,false,false,true,false
1916-07-30,false,true,true,false,false,true,false,true,false,true,false
1917-06-19,false,true,false,false,true,false,true,false,true,false,false
1918-06-8,false,true,false,true,true,false,true,false,true,true,false
1923-09-10,false,true,false,true,true,false,false,false,true,true,true
1924-08-30,false,true,false,false,true,false,true,false,true,false,false
1926-07-9,false,true,false,true,false,true,false,false,true,true,false
1930-04-28,false,true,false,true,true,false,true,false,true,true,false
1931-04-18,false,true,false,false,true,false,true,false,true,false,false
1931-09-12,false,true,false,false,false,false,false,false,true,false,false
1932-03-7,false,true,true,true,false,true,false,true,false,true,false
1932-08-31,false,true,false,true,true,false,false,false,true,true,true
1934-02-14,false,true,false,false,false,true,false,false,true,true,false
1935-06-30,false,true,false,true,true,false,true,false,true,false,false
1936-12-13,false,true,true,false,false,true,false,true,false,true,false
1937-12-2,false,true,false,false,false,true,false,false,true,true,false
1938-11-21,false,true,false,false,false,false,false,false,true,true,false
1939-04-19,false,true,false,true,true,false,true,false,true,true,false
