Date,Length,DistanceFromMean,TrueAnomaly
2087-07-29 18:20,29d 10h 48m,-01h56m,62.7
2087-08-28 05:08,29d 13h 39m,+00h55m,95.4
2087-09-26 18:47,29d 16h 43m,+03h59m,129.7
2087-10-26 11:29,29d 18h 54m,+06h10m,158.4
2087-11-25 06:23,29d 19h 19m,+06h35m,183.0
2087-12-25 01:42,29d 17h 56m,+05h12m,208.8
2088-01-23 19:38,29d 15h 31m,+02h47m,241.2
2088-02-22 11:09,29d 12h 51m,+00h07m,278.3
2088-03-23 00:00,29d 10h 24m,-02h20m,309.1
2088-04-21 10:25,29d 08h 24m,-04h20m,331.3
2088-05-20 18:49,29d 07h 05m,-05h39m,348.3
2088-06-19 01:54,29d 06h 45m,-05h59m,3.5
2088-07-18 08:38,29d 07h 37m,-05h07m,18.9
2088-08-16 16:15,29d 09h 42m,-03h02m,37.4
2088-09-15 01:58,29d 12h 42m,-00h02m,62.5
2088-10-14 14:39,29d 15h 52m,+03h08m,96.1
2088-11-13 06:31,29d 18h 20m,+05h36m,131.6
2088-12-13 00:52,29d 19h 26m,+06h42m,160.8
2089-01-11 20:17,29d 18h 58m,+06h14m,185.7
2089-02-10 15:16,29d 17h 08m,+04h24m,211.9
2089-03-12 08:24,29d 14h 22m,+01h38m,244.3
2089-04-10 22:45,29d 11h 18m,-01h26m,280.3
2089-05-10 10:03,29d 08h 41m,-04h03m,310.1
2089-06-08 18:44,29d 07h 03m,-05h41m,331.7
2089-07-08 01:47,29d 06h 40m,-06h04m,348.5
2089-08-06 08:28,29d 07h 30m,-05h14m,3.5
2089-09-04 15:58,29d 09h 17m,-03h27m,19.1
2089-10-04 01:15,29d 11h 40m,-01h04m,38.1
2089-11-02 12:55,29d 14h 17m,+01h32m,64.1
2089-12-02 03:11,29d 16h 45m,+04h01m,99.0
2089-12-31 19:57,29d 18h 37m,+05h53m,135.1
2090-01-30 14:34,29d 19h 12m,+06h28m,163.9
2090-03-01 09:46,29d 18h 02m,+05h18m,188.4
2090-03-31 03:48,29d 15h 24m,+02h40m,214.3
2090-04-29 19:12,29d 12h 17m,-00h27m,246.0
2090-05-29 07:29,29d 09h 42m,-03h02m,280.8
2090-06-27 17:11,29d 08h 08m,-04h36m,310.0
2090-07-27 01:19,29d 07h 40m,-05h04m,331.5
2090-08-25 08:59,29d 08h 04m,-04h40m,348.5
2090-09-23 17:03,29d 09h 06m,-03h38m,3.8
2090-10-23 02:09,29d 10h 39m,-02h05m,19.7
2090-11-21 12:48,29d 12h 41m,-00h03m,39.0
2090-12-21 01:29,29d 15h 02m,+02h18m,65.8
2091-01-19 16:31,29d 17h 07m,+04h23m,102.0
2091-02-18 09:38,29d 18h 07m,+05h23m,137.9
2091-03-20 03:46,29d 17h 34m,+04h50m,165.8
2091-04-18 21:20,29d 15h 47m,+03h03m,189.5
2091-05-18 13:07,29d 13h 34m,+00h50m,214.7
2091-06-17 02:41,29d 11h 35m,-01h09m,245.7
2091-07-16 14:15,29d 10h 06m,-02h38m,280.5
2091-08-15 00:22,29d 09h 13m,-03h31m,310.2
2091-09-13 09:34,29d 08h 54m,-03h50m,332.3
2091-10-12 18:29,29d 09h 13m,-03h31m,349.5
2091-11-11 03:42,29d 10h 12m,-02h32m,4.7
2091-12-10 13:54,29d 11h 43m,-01h01m,20.8
2092-01-09 01:37,29d 13h 26m,+00h42m,40.9
2092-02-07 15:03,29d 14h 54m,+02h10m,69.4
2092-03-08 05:56,29d 15h 45m,+03h01m,106.4
2092-04-06 21:41,29d 15h 58m,+03h14m,140.8
2092-05-06 13:39,29d 15h 39m,+02h55m,167.3
2092-06-05 05:17,29d 14h 53m,+02h09m,190.3
2092-07-04 20:10,29d 13h 44m,+01h00m,215.3
2092-08-03 09:54,29d 12h 20m,-00h24m,246.7
2092-09-01 22:14,29d 11h 01m,-01h43m,282.2
2092-10-01 09:15,29d 10h 13m,-02h31m,312.2
2092-10-30 19:29,29d 10h 07m,-02h37m,334.0
2092-11-29 05:36,29d 10h 34m,-02h10m,350.8
2092-12-28 16:10,29d 11h 12m,-01h32m,6.2
2093-01-27 03:22,29d 11h 43m,-01h01m,22.9
2093-02-25 15:05,29d 12h 12m,-00h32m,43.9
2093-03-27 03:18,29d 12h 54m,+00h10m,73.1
2093-04-25 16:12,29d 13h 55m,+01h11m,109.2
2093-05-25 06:07,29d 14h 57m,+02h13m,142.0
2093-06-23 21:04,29d 15h 31m,+02h47m,167.5
2093-07-23 12:36,29d 15h 18m,+02h34m,190.3
2093-08-22 03:53,29d 14h 23m,+01h39m,215.5
2093-09-20 18:16,29d 13h 17m,+00h33m,247.8
2093-10-20 07:33,29d 12h 24m,-00h20m,284.3
2093-11-18 19:58,29d 11h 50m,-00h54m,314.2
2093-12-18 07:47,29d 11h 18m,-01h26m,335.6
2094-01-16 19:05,29d 10h 38m,-02h06m,352.5
2094-02-15 05:43,29d 10h 01m,-02h43m,7.9
2094-03-16 15:44,29d 09h 53m,-02h51m,24.6
2094-04-15 01:37,29d 10h 32m,-02h12m,45.7
2094-05-14 12:09,29d 11h 54m,-00h50m,74.7
2094-06-13 00:03,29d 13h 33m,+00h49m,109.9
2094-07-12 13:37,29d 15h 00m,+02h16m,141.9
2094-08-11 04:37,29d 15h 55m,+03h11m,167.4
2094-09-09 20:31,29d 16h 13m,+03h29m,190.4
2094-10-09 12:44,29d 15h 58m,+03h14m,216.5
2094-11-08 04:42,29d 15h 08m,+02h24m,250.4
2094-12-07 19:50,29d 13h 43m,+00h59m,287.7
2095-01-06 09:33,29d 11h 55m,-00h49m,317.1
2095-02-04 21:28,29d 10h 10m,-02h34m,337.7
2095-03-06 07:39,29d 08h 57m,-03h47m,354.0
2095-04-04 16:36,29d 08h 30m,-04h14m,9.2
2095-05-04 01:06,29d 08h 52m,-03h52m,26.0
2095-06-02 09:58,29d 09h 56m,-02h48m,47.3
2095-07-01 19:54,29d 11h 34m,-01h10m,76.3
2095-07-31 07:29,29d 13h 37m,+00h53m,110.9
2095-08-29 21:05,29d 15h 49m,+03h05m,142.6
2095-09-28 12:54,29d 17h 38m,+04h54m,168.3
2095-10-28 06:32,29d 18h 22m,+05h38m,192.1
2095-11-27 00:54,29d 17h 30m,+04h46m,219.6
2095-12-26 18:24,29d 15h 20m,+02h36m,255.0
2096-01-25 09:45,29d 12h 44m,-00h01m,291.7
2096-02-23 22:28,29d 10h 26m,-02h18m,319.2
2096-03-24 08:55,29d 08h 49m,-03h55m,338.8
2096-04-22 17:43,29d 07h 52m,-04h52m,354.8
2096-05-22 01:35,29d 07h 36m,-05h08m,10.0
2096-06-20 09:12,29d 08h 09m,-04h35m,26.7
2096-07-19 17:20,29d 09h 39m,-03h05m,47.7
2096-08-18 03:00,29d 12h 10m,-00h34m,76.1
2096-09-16 15:10,29d 15h 18m,+02h34m,110.9
2096-10-16 06:28,29d 18h 07m,+05h23m,143.3
2096-11-15 00:35,29d 19h 30m,+06h46m,169.7
2096-12-14 20:05,29d 18h 54m,+06h10m,194.2
2097-01-13 15:00,29d 16h 49m,+04h05m,222.5
2097-02-12 07:49,29d 14h 08m,+01h24m,257.9
2097-03-13 21:56,29d 11h 30m,-01h14m,293.2
2097-04-12 09:26,29d 09h 14m,-03h30m,319.8
2097-05-11 18:40,29d 07h 34m,-05h10m,339.2
2097-06-10 02:13,29d 06h 44m,-06h00m,355.1
2097-07-09 08:58,29d 07h 02m,-05h42m,10.0
2097-08-07 16:00,29d 08h 34m,-04h10m,26.5
2097-09-06 00:33,29d 11h 12m,-01h33m,47.4
2097-10-05 11:45,29d 14h 23m,+01h39m,76.4
2097-11-04 02:08,29d 17h 18m,+04h34m,112.4
2097-12-03 19:26,29d 19h 06m,+06h22m,145.6
2098-01-02 14:32,29d 19h 22m,+06h38m,172.3
2098-02-01 09:54,29d 18h 08m,+05h24m,197.0
2098-03-03 04:02,29d 15h 45m,+03h01m,225.5
2098-04-01 19:47,29d 12h 45m,+00h01m,260.4
2098-05-01 08:32,29d 09h 51m,-02h53m,294.5
2098-05-30 18:23,29d 07h 43m,-05h01m,320.4
2098-06-29 02:06,29d 06h 45m,-05h59m,339.4
2098-07-28 08:51,29d 07h 02m,-05h42m,355.1
2098-08-26 15:53,29d 08h 24m,-04h20m,10.1
2098-09-25 00:17,29d 10h 32m,-02h12m,26.9
2098-10-24 10:49,29d 13h 02m,+00h18m,48.5
2098-11-22 23:51,29d 15h 33m,+02h49m,78.8
2098-12-22 15:24,29d 17h 43m,+04h59m,115.9
2099-01-21 09:07,29d 18h 58m,+06h14m,149.0
2099-02-20 04:06,29d 18h 41m,+05h57m,175.1
2099-03-21 22:46,29d 16h 43m,+03h59m,199.5
2099-04-20 15:30,29d 13h 47m,+01h03m,227.5
2099-05-20 05:16,29d 10h 54m,-01h50m,261.4
2099-06-18 16:10,29d 08h 51m,-03h53m,294.6
2099-07-18 01:01,29d 07h 54m,-04h50m,320.2
2099-08-16 08:54,29d 07h 56m,-04h48m,339.4
2099-09-14 16:51,29d 08h 42m,-04h02m,355.4
2099-10-14 01:32,29d 09h 57m,-02h47m,10.7
2099-11-12 11:29,29d 11h 40m,-01h04m,27.7
2099-12-11 23:09,29d 13h 47m,+01h03m,49.8
2100-01-10 12:56,29d 15h 59m,+03h15m,81.3
2100-02-09 04:55,29d 17h 34m,+04h50m,119.1
2100-03-10 22:29,29d 17h 48m,+05h04m,151.4
2100-04-09 16:16,29d 16h 37m,+03h53m,176.6
2100-05-09 08:54,29d 14h 38m,+01h54m,200.1
2100-06-07 23:31,29d 12h 35m,-00h09m,227.5
2100-07-07 12:06,29d 10h 55m,-01h49m,261.0
2100-08-05 23:02,29d 09h 48m,-02h56m,294.6
2100-09-04 08:50,29d 09h 13m,-03h31m,320.8
2100-10-03 18:03,29d 09h 12m,-03h32m,340.4
2100-11-02 03:14,29d 09h 46m,-02h58m,356.4
2100-12-01 13:01,29d 10h 56m,-01h48m,11.7
2100-12-30 23:56,29d 12h 28m,-00h16m,29.1
